species_binomial	organism_name	assembly_accession	taxid	species_taxid	assembly_level	version_status	refseq_category	ftp_path	protein_faa_url
Flavobacterium johnsoniae	Flavobacterium johnsoniae UW101	GCF_000016645.1	376686	986	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/645/GCF_000016645.1_ASM1664v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/645/GCF_000016645.1_ASM1664v1/GCF_000016645.1_ASM1664v1_protein.faa.gz
Flavobacterium johnsoniae	Flavobacterium johnsoniae	GCF_030388325.1	986	986	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/388/325/GCF_030388325.1_ASM3038832v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/388/325/GCF_030388325.1_ASM3038832v1/GCF_030388325.1_ASM3038832v1_protein.faa.gz
Helicobacter pylori	Helicobacter pylori J99	GCF_000008785.1	85963	210	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/785/GCF_000008785.1_ASM878v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/785/GCF_000008785.1_ASM878v1/GCF_000008785.1_ASM878v1_protein.faa.gz
Helicobacter pylori	Helicobacter pylori	GCF_025998455.1	210	210	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/998/455/GCF_025998455.1_ASM2599845v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/998/455/GCF_025998455.1_ASM2599845v1/GCF_025998455.1_ASM2599845v1_protein.faa.gz
Klebsiella pneumoniae	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	GCF_000009885.1	484021	573	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/885/GCF_000009885.1_ASM988v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/885/GCF_000009885.1_ASM988v1/GCF_000009885.1_ASM988v1_protein.faa.gz
Klebsiella pneumoniae	Klebsiella pneumoniae subsp. pneumoniae HS11286	GCF_000240185.1	1125630	573	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2/GCF_000240185.1_ASM24018v2_protein.faa.gz
Legionella pneumophila	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	GCF_000008485.1	272624	446	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1/GCF_000008485.1_ASM848v1_protein.faa.gz
Legionella pneumophila	Legionella pneumophila	GCF_001941585.1	446	446	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/585/GCF_001941585.1_ASM194158v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/585/GCF_001941585.1_ASM194158v1/GCF_001941585.1_ASM194158v1_protein.faa.gz
Leptospira interrogans	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	GCF_000007685.1	267671	173	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/685/GCF_000007685.1_ASM768v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/685/GCF_000007685.1_ASM768v1/GCF_000007685.1_ASM768v1_protein.faa.gz
Leptospira interrogans	Leptospira interrogans serovar Copenhageni	GCF_002073495.2	44275	173	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/495/GCF_002073495.2_ASM207349v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/495/GCF_002073495.2_ASM207349v2/GCF_002073495.2_ASM207349v2_protein.faa.gz
Listeria monocytogenes	Listeria monocytogenes serotype 4b str. F2365	GCF_000008285.1	265669	1639	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/285/GCF_000008285.1_ASM828v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/285/GCF_000008285.1_ASM828v1/GCF_000008285.1_ASM828v1_protein.faa.gz
Listeria monocytogenes	Listeria monocytogenes EGD-e	GCF_000196035.1	169963	1639	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1/GCF_000196035.1_ASM19603v1_protein.faa.gz
Mycobacterium tuberculosis	Mycobacterium tuberculosis CDC1551	GCF_000008585.1	83331	1773	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/585/GCF_000008585.1_ASM858v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/585/GCF_000008585.1_ASM858v1/GCF_000008585.1_ASM858v1_protein.faa.gz
